ticker,date,open,high,low,close,vol
AAPL,201010200920,308.9,308.9,308.53,308.7,14606
AAPL,201010200925,308.79,309.25,308.7,308.99,11017
AAPL,201010200930,309,310.8,308.76,310.11,895222
AAPL,201010200935,310.09,310.45,308,308.17,771423
AAPL,201010200940,308.21,309.99,308.01,309.8,561224
AAPL,201010200945,309.84,310,308.36,308.58,472798
AAPL,201010200950,308.6,309.3,307.91,308.46,450606
AAPL,201010200955,308.4,309.02,308.38,308.88,355100
AAPL,201010201000,308.9,309.21,308.56,308.73,348362
AAPL,201010201005,308.73,309.11,308.02,308.1,408781
AAPL,201010201010,308.09,308.4,306.87,307.79,678082
AAPL,201010201015,307.77,307.82,307.3,307.59,304528
AAPL,201010201020,307.51,308.24,307.51,308.12,340140
AAPL,201010201025,308.09,308.5,308.05,308.35,230573
AAPL,201010201030,308.32,308.93,308.26,308.85,307496
AAPL,201010201035,308.84,309.06,307.9,307.97,266423
AAPL,201010201040,307.9,308.96,307.9,308.75,240018
AAPL,201010201045,308.81,309.85,308.72,309.68,504323
AAPL,201010201050,309.69,310.17,309.44,309.81,461194
AAPL,201010201055,309.84,310.1,309.38,309.63,365616
AAPL,201010201100,309.68,309.85,309.3,309.4,165838
AAPL,201010201105,309.41,309.93,309.15,309.93,268331
AAPL,201010201110,309.95,310.15,309.63,309.9,265608
AAPL,201010201115,309.86,310.8,309.75,310.74,284888
AAPL,201010201120,310.74,311.37,310.52,311.2,456004
AAPL,201010201125,311.21,312.12,311,311.57,612698
AAPL,201010201130,311.54,312.15,311.52,311.76,297412
AAPL,201010201135,311.76,312.5,311.66,312.5,367327
AAPL,201010201140,312.5,312.87,312.3,312.72,357742
AAPL,201010201145,312.69,313.5,312.63,312.85,504242
AAPL,201010201150,312.86,313.05,312.7,313.01,209554
AAPL,201010201155,313.05,313.05,312.33,312.49,250211
AAPL,201010201200,312.46,313.31,312.4,313.17,272144
AAPL,201010201205,313.13,313.62,313.05,313.18,345178
AAPL,201010201210,313.17,314.25,313.17,313.94,421155
AAPL,201010201215,313.95,314.19,313.75,314,254662
AAPL,201010201220,314.01,314.1,313.64,313.83,227521
AAPL,201010201225,313.83,313.86,313.3,313.56,193228
AAPL,201010201230,313.58,313.86,313.39,313.67,112705
AAPL,201010201235,313.72,313.83,313.11,313.24,163646
AAPL,201010201240,313.23,313.25,312.6,312.79,242582
AAPL,201010201245,312.78,313.3,312.71,313.21,152466
AAPL,201010201250,313.19,313.27,312.86,312.86,98780
AAPL,201010201255,312.86,312.87,312.6,312.82,160131
AAPL,201010201300,312.82,313.27,312.75,313.06,184088
AAPL,201010201305,313.05,313.13,312.77,312.94,162365
AAPL,201010201310,312.94,312.94,312.05,312.52,345902
AAPL,201010201315,312.53,313.09,312.48,312.71,172158
AAPL,201010201320,312.7,313.44,312.69,313.39,183310
AAPL,201010201325,313.36,313.39,313.05,313.2,130852
AAPL,201010201330,313.22,313.37,313.02,313.05,118975
AAPL,201010201335,313.03,313.05,312.42,312.45,173437
AAPL,201010201340,312.42,312.97,312.42,312.96,104311
AAPL,201010201345,312.92,312.92,312.34,312.52,131200
AAPL,201010201350,312.5,312.83,312.5,312.64,84408
AAPL,201010201355,312.67,312.89,312.16,312.27,210197
AAPL,201010201400,312.29,313.15,311.71,311.75,403372
AAPL,201010201405,311.81,312.14,311.21,311.33,494388
AAPL,201010201410,311.32,312.44,311.2,311.96,468030
AAPL,201010201415,311.96,312.68,311.83,312.41,345300
AAPL,201010201420,312.41,312.6,312.03,312.24,192975
AAPL,201010201425,312.24,312.57,311.83,311.94,253431
